Country,GDP_USD
China,19320000000000.0
India,4187000000000.0005
Japan,4186000000000.0
Russia,2076000000000.0
South Korea,1790000000000.0
Turkey,1437000000000.0
Indonesia,1429000000000.0
Saudi Arabia,1083000000000.0
Taiwan,804000000000.0
Israel,583800000000.0
Singapore,564700000000.0
United Arab Emirates,548500000000.0
Thailand,546200000000.00006
Philippines,497400000000.0
Vietnam,490900000000.0
Malaysia,488700000000.0
Bangladesh,467500000000.0
Hong Kong,423900000000.0
Pakistan,410960000000.0
Iran,341500000000.0
Kazakhstan,300500000000.0
Iraq,258019999999.99997
Qatar,222700000000.0
Kuwait,153100000000.0
Uzbekistan,132400000000.0
Oman,104300000000.0
Turkmenistan,89050000000.0
Sri Lanka,85400000000.0
Azerbaijan,78800000000.0
Myanmar,64900000000.00001
Jordan,56100000000.0
Macau,54700000000.0
Cambodia,49700000000.0
Bahrain,47800000000.0
Nepal,46080000000.0
Lebanon,38100000000.0
Cyprus,34299999999.999996
Georgia,36600000000.0
Armenia,27500000000.0
North Korea,24500000000.0
Syria,22400000000.0
Mongolia,22100000000.0
Palestine,19800000000.0
Laos,19100000000.0
Afghanistan,17100000000.000002
Yemen,16899999999.999998
Brunei,16399999999.999998
Kyrgyzstan,13700000000.0
Tajikistan,13200000000.0
Maldives,8210000000.000001
Bhutan,3310000000.0
Timor-Leste,3250000000.0
